Domain,Count
com,21245514
de,2995130
net,2330354
org,2204897
uk,1727006
nl,1017671
ru,750963
info,698283
it,661345
pl,590775
br,570253
au,513838
jp,511159
fr,468399
ch,419662
cz,390970
ca,363648
cn,326583
se,303689
eu,277554
at,271743
dk,264016
be,259504
es,220799
biz,220339
ar,203170
hu,176014
us,158196
ua,149633
ro,147690
za,141624
nz,131794
no,129235
fi,100781
in,100188
tk,87794
kr,84608
gr,84278
tw,81203
sk,81172
mx,79110
tr,77930
tv,72212
cl,65629
il,55917
ie,55218
co,47178
lt,42741
nu,42534
pt,41671
me,37748
vn,37513
cc,36212
ir,33857
si,33012
hr,30354
ee,29985
hk,29527
ws,27657
lv,26961
my,26261
sg,25763
rs,22686
mobi,20254
id,17467
th,15797
by,15531
cat,14507
su,14440
name,14359
ph,13528
is,13511
kz,12895
lu,12467
la,11637
bg,10812
pe,10506
ve,10108
uy,8899
tel,8882
pk,7288
ae,6735
li,6496
asia,6375
edu,6353
ba,6279
mk,6092
ge,6072
pro,5599
bz,5412
md,5144
ec,4885
ma,4802
np,4742
to,4588
fm,4321
am,4157
st,4087
sa,3882
cx,3491
py,3415
gov,3288
im,3165
do,3075
travel,2972
cy,2921
uz,2917
az,2837
ke,2677
lk,2640
coop,2615
tn,2444
cr,2422
mn,2367
as,2351
mp,2311
ag,2017
gt,2000
mt,1744
bo,1701
ly,1698
jobs,1682
aero,1608
eg,1475
ps,1448
ms,1444
bd,1410
sv,1390
kg,1334
al,1211
lb,1205
fo,1196
re,1183
jo,1168
vc,1149
tc,1146
pa,1105
io,1098
mu,1088
bm,1044
ac,1027
gs,966
ni,949
ug,906
ky,890
tz,866
ng,860
zw,854
nc,816
dz,799
xn--p1ai,785
gl,748
tj,693
hn,691
mo,688
sc,685
na,662
cm,654
kh,637
sh,637
mz,634
dj,630
kw,628
vg,616
gg,609
sm,609
jm,602
sn,571
mc,570
ax,558
ad,555
bw,555
qa,534
af,510
mv,508
pf,507
je,506
bh,469
cu,432
fj,432
pg,431
gh,420
zm,415
mg,405
cd,395
et,382
tt,372
ci,355
museum,353
gi,350
bt,342
bn,334
sy,323
bf,318
gd,318
rw,302
om,293
tl,292
sd,289
bb,275
vi,259
an,251
gm,249
ao,237
pr,225
gp,224
ht,221
lc,220
vu,219
ai,208
sz,190
sr,189
ck,183
cv,182
mr,182
gy,180
ye,178
mw,173
int,144
tm,141
aw,133
iq,125
bj,120
bs,114
ls,113
nf,112
tg,112
mm,109
mil,106
ml,102
hm,101
dm,94
bi,89
sl,85
so,77
pn,76
sb,67
xxx,58
lr,56
ki,55
va,53
tf,50
ne,45
ga,43
cg,38
gf,33
mq,33
aq,32
fk,31
kn,29
nr,24
td,19
gu,14
km,13
gn,9
gq,9
er,8
pm,6
pw,6
cf,5
xn--o3cw4h,5
xn--fiqs8s,4
arpa,2
xn--j6w193g,2
yt,2
tp,1
xn--90a3ac,1
xn--mgbaam7a8h,1
